number,linux_name,status,dispatch_macros,dispatch_handlers,kernel_macros_at_number,legacy_alias_if_enabled,test_covered,notes
131,sigaltstack,struct-risk,SYS_sigaltstack_x86,sys_sigaltstack,SYS_sigaltstack_x86,SYS_mknodat(1331),no,native number is wired; audit structs/flags/semantics
132,utime,native-ok,SYS_utime_x86,sys_utime,SYS_utime_x86,SYS_unlinkat(1332),yes,native number is wired to matching handler
133,mknod,native-ok,SYS_mknod_x86,sys_vfs_mknod,SYS_mknod_x86,SYS_linkat(1333),no,native number is wired to matching handler
134,uselib,native-ok,SYS_uselib_x86,sys_uselib,SYS_uselib_x86,SYS_symlinkat(1334),yes,native number is wired to matching handler
135,personality,native-ok,SYS_personality_x86,sys_personality,SYS_personality_x86,SYS_readlinkat(1335),yes,native number is wired to matching handler
136,ustat,native-ok,SYS_ustat_x86,sys_ustat,SYS_ustat_x86,SYS_renameat(1336),yes,native number is wired to matching handler
137,statfs,struct-risk,SYS_statfs_x86,sys_statfs,SYS_statfs_x86,SYS_faccessat(1337),yes,native number is wired; audit structs/flags/semantics
138,fstatfs,struct-risk,SYS_fstatfs_x86,sys_fstatfs,SYS_fstatfs_x86,SYS_dup3(1338),yes,native number is wired; audit structs/flags/semantics
139,sysfs,native-ok,SYS_sysfs_x86,sys_sysfs,SYS_sysfs_x86,SYS_getuid(1339),yes,native number is wired to matching handler
140,getpriority,native-ok,SYS_getpriority_x86,sys_getpriority,SYS_getpriority_x86,SYS_geteuid(1340),no,native number is wired to matching handler
141,setpriority,native-ok,SYS_setpriority_x86,sys_setpriority,SYS_setpriority_x86,SYS_getgid(1341),no,native number is wired to matching handler
142,sched_setparam,native-ok,SYS_sched_setparam_x86,sys_sched_setparam,SYS_sched_setparam_x86,SYS_getegid(1342),no,native number is wired to matching handler
143,sched_getparam,native-ok,SYS_sched_getparam_x86,sys_sched_getparam,SYS_sched_getparam_x86,SYS_setuid(1343),no,native number is wired to matching handler
144,sched_setscheduler,native-ok,SYS_sched_setscheduler_x86,sys_sched_setscheduler,SYS_sched_setscheduler_x86,SYS_setgid(1344),no,native number is wired to matching handler
145,sched_getscheduler,native-ok,SYS_sched_getscheduler_x86,sys_sched_getscheduler,SYS_sched_getscheduler_x86,SYS_setreuid(1345),no,native number is wired to matching handler
